phrase_original,phrase_canonical,representative_phrase,df,tf,cleaned_score,canonical_score_proxy,doc_text,doc_index,topic_id,is_outlier_topic,topic_label,concept_id
와이어,와이어,와이어,6,24,4.534,4.534,와이어,47,0,False,디지털 | 전해질 | 리튬,BT0001
단말기,단말기,단말기,6,19,4.534,4.534,단말기,48,0,False,디지털 | 전해질 | 리튬,BT0001
초음파 발생,초음파 발생,초음파 발생,2,8,4.5207,4.5207,초음파 발생,49,0,False,디지털 | 전해질 | 리튬,BT0001
초음파,초음파,초음파,4,12,4.5026,4.5026,초음파,50,0,False,디지털 | 전해질 | 리튬,BT0001
플라스틱,플라스틱,플라스틱,6,15,4.486,4.486,플라스틱,51,0,False,디지털 | 전해질 | 리튬,BT0001
케이블,케이블,케이블,5,18,4.4784,4.4784,케이블,52,4,False,파이프 | 단섬유 | 케이블,BT0006
플레이트,플레이트,플레이트,7,19,4.476,4.476,플레이트,53,0,False,디지털 | 전해질 | 리튬,BT0001
복합체,복합체,복합체,3,8,4.4443,4.4443,복합체,54,0,False,디지털 | 전해질 | 리튬,BT0001
프로세스,프로세스,프로세스,12,22,4.4427,4.4427,프로세스,55,0,False,디지털 | 전해질 | 리튬,BT0001
가전제품,가전제품,가전제품,2,11,4.4207,4.4207,가전제품,56,0,False,디지털 | 전해질 | 리튬,BT0001
컴퓨터,컴퓨터,컴퓨터,15,27,4.4,4.4,컴퓨터,57,0,False,디지털 | 전해질 | 리튬,BT0001
에너지 발생,에너지 발생,에너지 발생,2,6,4.3874,4.3874,에너지 발생,58,1,False,배터리 | 열처리 | 에너지,BT0003
케이스,케이스,케이스,7,43,4.3394,4.3394,케이스,59,0,False,디지털 | 전해질 | 리튬,BT0001
게이트,게이트,게이트,7,26,4.3394,4.3394,게이트,60,0,False,디지털 | 전해질 | 리튬,BT0001
포인트,포인트,포인트,7,20,4.3352,4.3352,포인트,61,0,False,디지털 | 전해질 | 리튬,BT0001
디지털 변환,디지털 변환,디지털 변환,2,5,4.3207,4.3207,디지털 변환,62,0,False,디지털 | 전해질 | 리튬,BT0001
디지털 트윈,디지털 트윈,디지털 트윈,2,5,4.3207,4.3207,디지털 트윈,63,0,False,디지털 | 전해질 | 리튬,BT0001
스펜서,스펜서,스펜서,2,9,4.2874,4.2874,스펜서,64,0,False,디지털 | 전해질 | 리튬,BT0001
레이트,레이트,레이트,6,14,4.2673,4.2673,레이트,65,0,False,디지털 | 전해질 | 리튬,BT0001
알루미늄 합금,알루미늄 합금,알루미늄 합금,2,4,4.2621,4.2621,알루미늄 합금,66,0,False,디지털 | 전해질 | 리튬,BT0001
윤활유 조성,윤활유 조성,윤활유 조성,2,4,4.2541,4.2541,윤활유 조성,67,0,False,디지털 | 전해질 | 리튬,BT0001
반도체 디바이스,반도체 디바이스,반도체 디바이스,2,10,4.2353,4.2353,반도체 디바이스,68,9,False,반도체 | 실리콘 | 트랜지스터,BT0002
트레이,트레이,트레이,7,46,4.217,4.217,트레이,69,0,False,디지털 | 전해질 | 리튬,BT0001
프레임,프레임,프레임,24,82,4.1974,4.1974,프레임,70,0,False,디지털 | 전해질 | 리튬,BT0001
컨테이너,컨테이너,컨테이너,6,13,4.1927,4.1927,컨테이너,71,0,False,디지털 | 전해질 | 리튬,BT0001
디바이스,디바이스,디바이스,23,54,4.1922,4.1922,디바이스,72,0,False,디지털 | 전해질 | 리튬,BT0001
자동차,자동차,자동차,6,8,4.1713,4.1713,자동차,73,0,False,디지털 | 전해질 | 리튬,BT0001
플랫폼,플랫폼,플랫폼,3,12,4.159,4.159,플랫폼,74,0,False,디지털 | 전해질 | 리튬,BT0001
마이오,마이오,마이오,2,7,4.1541,4.1541,마이오,75,0,False,디지털 | 전해질 | 리튬,BT0001
청정기,청정기,청정기,2,7,4.1541,4.1541,청정기,76,0,False,디지털 | 전해질 | 리튬,BT0001
인코딩,인코딩,인코딩,7,13,4.1427,4.1427,인코딩,77,0,False,디지털 | 전해질 | 리튬,BT0001
파라미터,파라미터,파라미터,9,18,4.1339,4.1339,파라미터,78,0,False,디지털 | 전해질 | 리튬,BT0001
컴퓨터 판독,컴퓨터 판독,컴퓨터 판독,2,2,4.1207,4.1207,컴퓨터 판독,79,0,False,디지털 | 전해질 | 리튬,BT0001
테스트 코드,테스트 코드,테스트 코드,2,8,4.0939,4.0939,테스트 코드,80,0,False,디지털 | 전해질 | 리튬,BT0001
혼합물,혼합물,혼합물,6,16,4.0887,4.0887,혼합물,81,0,False,디지털 | 전해질 | 리튬,BT0001
가이드,가이드,가이드,10,19,4.0666,4.0666,가이드,82,0,False,디지털 | 전해질 | 리튬,BT0001
전해질,전해질,전해질,6,15,4.045999999999999,4.045999999999999,전해질,83,0,False,디지털 | 전해질 | 리튬,BT0001
주파수,주파수,주파수,6,13,4.0407,4.0407,주파수,84,0,False,디지털 | 전해질 | 리튬,BT0001
AAV,AAV,AAV,2,4,4.0273,4.0273,AAV,85,0,False,디지털 | 전해질 | 리튬,BT0001
베이스,베이스,베이스,12,26,4.0267,4.0267,베이스,86,0,False,디지털 | 전해질 | 리튬,BT0001
백라이트,백라이트,백라이트,2,5,4.0207,4.0207,백라이트,87,0,False,디지털 | 전해질 | 리튬,BT0001
아크릴,아크릴,아크릴,7,13,4.0061,4.0061,아크릴,88,0,False,디지털 | 전해질 | 리튬,BT0001
업데이트,업데이트,업데이트,4,11,4.0039,4.0039,업데이트,89,0,False,디지털 | 전해질 | 리튬,BT0001
지지대,지지대,지지대,4,17,3.9719,3.9719,지지대,90,0,False,디지털 | 전해질 | 리튬,BT0001
프로그램 제품,프로그램 제품,프로그램 제품,5,6,3.965,3.965,프로그램 제품,91,0,False,디지털 | 전해질 | 리튬,BT0001
카트리지,카트리지,카트리지,3,9,3.959,3.959,카트리지,92,0,False,디지털 | 전해질 | 리튬,BT0001
윤활유,윤활유,윤활유,2,4,3.9541,3.9541,윤활유,93,0,False,디지털 | 전해질 | 리튬,BT0001
컴퓨팅,컴퓨팅,컴퓨팅,6,16,3.9287,3.9287,컴퓨팅,94,0,False,디지털 | 전해질 | 리튬,BT0001
파일럿,파일럿,파일럿,2,15,3.8954,3.8954,파일럿,95,0,False,디지털 | 전해질 | 리튬,BT0001
레티클 컨테이너,레티클 컨테이너,레티클 컨테이너,2,5,3.8939,3.8939,레티클 컨테이너,96,0,False,디지털 | 전해질 | 리튬,BT0001
전자파 차폐,전자파 차폐,전자파 차폐,2,5,3.8939,3.8939,전자파 차폐,97,0,False,디지털 | 전해질 | 리튬,BT0001
열처리,열처리,열처리,6,13,3.8887,3.8887,열처리,98,1,False,배터리 | 열처리 | 에너지,BT0003
그리퍼,그리퍼,그리퍼,2,3,3.8874,3.8874,그리퍼,99,0,False,디지털 | 전해질 | 리튬,BT0001
라이트,라이트,라이트,4,8,3.8039,3.8039,라이트,100,0,False,디지털 | 전해질 | 리튬,BT0001
HARQ,HARQ,HARQ,2,6,3.7954,3.7954,HARQ,101,0,False,디지털 | 전해질 | 리튬,BT0001
ACK,ACK,ACK,2,6,3.7954,3.7954,ACK,102,0,False,디지털 | 전해질 | 리튬,BT0001
바이러스,바이러스,바이러스,3,6,3.759,3.759,바이러스,103,2,False,바이러스 | CSI,BT0008
트랜지스터,트랜지스터,트랜지스터,6,26,3.75,3.75,트랜지스터,104,9,False,반도체 | 실리콘 | 트랜지스터,BT0002
카운터,카운터,카운터,3,14,3.7403,3.7403,카운터,105,0,False,디지털 | 전해질 | 리튬,BT0001
캐비닛,캐비닛,캐비닛,3,14,3.7403,3.7403,캐비닛,106,0,False,디지털 | 전해질 | 리튬,BT0001
포토레지스트,포토레지스트,포토레지스트,5,7,3.7317,3.7317,포토레지스트,107,0,False,디지털 | 전해질 | 리튬,BT0001
모니터링 시스템,모니터링 시스템,모니터링 시스템,2,8,3.7287,3.7287,모니터링 시스템,108,0,False,디지털 | 전해질 | 리튬,BT0001
나트륨 이온,나트륨 이온,나트륨 이온,2,8,3.7287,3.7287,나트륨 이온,109,0,False,디지털 | 전해질 | 리튬,BT0001
레티클,레티클,레티클,2,7,3.7273,3.7273,레티클,110,0,False,디지털 | 전해질 | 리튬,BT0001
비디오,비디오,비디오,4,16,3.6787,3.6787,비디오,111,10,False,이미지 | 센서 | 카메라,BT0004
커넥터,커넥터,커넥터,4,16,3.6787,3.6787,커넥터,112,4,False,파이프 | 단섬유 | 케이블,BT0006
세라믹,세라믹,세라믹,3,13,3.6737,3.6737,세라믹,113,0,False,디지털 | 전해질 | 리튬,BT0001
에어로,에어로,에어로,3,9,3.6657,3.6657,에어로,114,0,False,디지털 | 전해질 | 리튬,BT0001
PDCCH,PDCCH,PDCCH,2,4,3.6621,3.6621,PDCCH,115,7,False,PDCCH,BT0011
CSI,CSI,CSI,2,4,3.6621,3.6621,CSI,116,2,False,바이러스 | CSI,BT0008
방향족,방향족,방향족,5,11,3.6517,3.6517,방향족,117,0,False,디지털 | 전해질 | 리튬,BT0001
데이터 유닛,데이터 유닛,데이터 유닛,3,8,3.6403,3.6403,데이터 유닛,118,8,False,데이터,BT0010
중합체,중합체,중합체,4,12,3.6386,3.6386,중합체,119,0,False,디지털 | 전해질 | 리튬,BT0001
자외선,자외선,자외선,5,11,3.6383,3.6383,자외선,120,6,False,포토레지스트 | 레이저 | 방사선,BT0005
스테이션,스테이션,스테이션,2,11,3.6287,3.6287,스테이션,121,0,False,디지털 | 전해질 | 리튬,BT0001
폴리머,폴리머,폴리머,5,13,3.5983,3.5983,폴리머,122,0,False,디지털 | 전해질 | 리튬,BT0001
포토레지스트 조성물,포토레지스트 조성물,포토레지스트 조성물,3,4,3.587,3.587,포토레지스트 조성물,123,6,False,포토레지스트 | 레이저 | 방사선,BT0005
이미지 센서,이미지 센서,이미지 센서,3,7,3.5737,3.5737,이미지 센서,124,10,False,이미지 | 센서 | 카메라,BT0004
매트릭스,매트릭스,매트릭스,5,15,3.5584,3.5584,매트릭스,125,0,False,디지털 | 전해질 | 리튬,BT0001
화학식,화학식,화학식,8,14,3.5467,3.5467,화학식,126,0,False,디지털 | 전해질 | 리튬,BT0001
드라이버,드라이버,드라이버,3,11,3.5403,3.5403,드라이버,127,0,False,디지털 | 전해질 | 리튬,BT0001
정전기 방전,정전기 방전,정전기 방전,2,5,3.5287,3.5287,정전기 방전,128,0,False,디지털 | 전해질 | 리튬,BT0001
레독스,레독스,레독스,2,4,3.5273,3.5273,레독스,129,0,False,디지털 | 전해질 | 리튬,BT0001
오디오,오디오,오디오,3,15,3.5137,3.5137,오디오,130,0,False,디지털 | 전해질 | 리튬,BT0001
이벤트,이벤트,이벤트,6,25,3.51,3.51,이벤트,131,0,False,디지털 | 전해질 | 리튬,BT0001
컴퓨터 구현,컴퓨터 구현,컴퓨터 구현,3,6,3.507,3.507,컴퓨터 구현,132,0,False,디지털 | 전해질 | 리튬,BT0001
